depth_m(+down),temperature_C,salinity_PSU
-1.32611e-06,26.163,40.5992
50,25.3108,40.5138
100,23.8826,40.4221
150,22.778,40.4374
200,22.0704,40.4888
250,21.7751,40.564
300,21.5585,40.6563
350,21.3604,40.717
400,21.1936,40.7325
450,21.0926,40.7347
500,21.054,40.7359
550,21.0538,40.7366
600,21.0672,40.7371
650,21.0767,40.7374
700,21.0783,40.7376
750,21.0756,40.7377
800,21.0719,40.7378
850,21.0698,40.7378
900,21.0697,40.7378
950,21.0705,40.7378
1000,21.0716,40.7378
1005,21.0717,40.7378
1010,21.0718,40.7378
1015,21.0718,40.7378
1025,21.0719,40.7378
1050,21.0721,40.7378
1100,21.0721,40.7378
1200,21.0717,40.7378
1300,21.0715,40.7378
1400,21.0715,40.7378
1600,21.0716,40.7378
1625.16,21.0716,40.7378
